SRR011037.filt.fastq.gz,178 MB,9/23/2009 0:00
SRR011037_1.filt.fastq.gz,952 MB,9/23/2009 0:00
SRR011037_2.filt.fastq.gz,956 MB,9/23/2009 0:00
SRR011038.filt.fastq.gz,110 MB,9/23/2009 0:00
SRR011038_1.filt.fastq.gz,1.0 GB,9/23/2009 0:00
SRR011038_2.filt.fastq.gz,1022 MB,9/23/2009 0:00
SRR011039.filt.fastq.gz,83.7 MB,9/23/2009 0:00
SRR011039_1.filt.fastq.gz,879 MB,9/23/2009 0:00
SRR011039_2.filt.fastq.gz,879 MB,9/23/2009 0:00
SRR011040.filt.fastq.gz,126 MB,9/23/2009 0:00
SRR011040_1.filt.fastq.gz,995 MB,9/23/2009 0:00
SRR011040_2.filt.fastq.gz,982 MB,9/23/2009 0:00
SRR011041.filt.fastq.gz,118 MB,9/23/2009 0:00
SRR011041_1.filt.fastq.gz,996 MB,9/23/2009 0:00
SRR011041_2.filt.fastq.gz,985 MB,9/23/2009 0:00
SRR011042.filt.fastq.gz,102 MB,9/23/2009 0:00
SRR011042_1.filt.fastq.gz,1008 MB,9/23/2009 0:00
SRR011042_2.filt.fastq.gz,1005 MB,9/23/2009 0:00
SRR011043.filt.fastq.gz,109 MB,9/23/2009 0:00
SRR011043_1.filt.fastq.gz,999 MB,9/23/2009 0:00
SRR011043_2.filt.fastq.gz,1008 MB,9/23/2009 0:00
SRR020480.filt.fastq.gz,47.9 MB,2/5/2010 0:00
SRR020480_1.filt.fastq.gz,566 MB,2/5/2010 0:00
SRR020480_2.filt.fastq.gz,578 MB,2/5/2010 0:00
SRR020481.filt.fastq.gz,35.0 MB,11/5/2009 0:00
SRR020481_1.filt.fastq.gz,570 MB,11/5/2009 0:00
SRR020481_2.filt.fastq.gz,572 MB,11/5/2009 0:00
SRR022607.filt.fastq.gz,56.5 MB,11/5/2009 0:00
SRR022607_1.filt.fastq.gz,348 MB,11/5/2009 0:00
SRR022607_2.filt.fastq.gz,291 MB,11/5/2009 0:00
SRR027525.filt.fastq.gz,36.6 MB,2/5/2010 0:00
SRR027525_1.filt.fastq.gz,770 MB,2/5/2010 0:00
SRR027525_2.filt.fastq.gz,774 MB,2/5/2010 0:00
SRR027526.filt.fastq.gz,36.7 MB,2/16/2010 0:00
SRR027526_1.filt.fastq.gz,761 MB,2/16/2010 0:00
SRR027526_2.filt.fastq.gz,766 MB,2/16/2010 0:00
SRR027527.filt.fastq.gz,36.0 MB,2/12/2010 0:00
SRR027527_1.filt.fastq.gz,750 MB,2/12/2010 0:00
SRR027527_2.filt.fastq.gz,755 MB,2/12/2010 0:00
SRR027528.filt.fastq.gz,39.8 MB,1/29/2010 0:00
SRR027528_1.filt.fastq.gz,683 MB,1/29/2010 0:00
SRR027528_2.filt.fastq.gz,687 MB,1/29/2010 0:00
SRR029844.filt.fastq.gz,4.2 MB,1/29/2010 0:00
SRR029844_1.filt.fastq.gz,381 MB,1/29/2010 0:00
SRR029844_2.filt.fastq.gz,371 MB,1/29/2010 0:00
SRR029845.filt.fastq.gz,4.2 MB,2/12/2010 0:00
SRR029845_1.filt.fastq.gz,388 MB,2/12/2010 0:00
SRR029845_2.filt.fastq.gz,378 MB,2/12/2010 0:00
SRR032211.filt.fastq.gz,24.2 MB,2/15/2010 0:00
SRR032211_1.filt.fastq.gz,338 MB,2/15/2010 0:00
SRR032211_2.filt.fastq.gz,353 MB,2/15/2010 0:00
SRR032212.filt.fastq.gz,12.0 MB,1/29/2010 0:00
SRR032212_1.filt.fastq.gz,359 MB,1/29/2010 0:00
SRR032212_2.filt.fastq.gz,373 MB,1/29/2010 0:00
SRR100027.filt.fastq.gz,31.9 MB,2/19/2011 0:00
SRR100027_1.filt.fastq.gz,7.3 GB,2/19/2011 0:00
SRR100027_2.filt.fastq.gz,7.4 GB,2/19/2011 0:00
